id,name,category,sales,profit,active
1,Course,Beverage,452.05,42.49,False
2,Expect,Beverage,91.01,94.27,True
3,Experience,Dairy,378.06,51.65,False
4,Later,Fruit,364.67,49.72,False
5,Include,Vegetable,451.46,116.28,True
6,Personal,Dairy,229.34,49.71,True
7,Knowledge,Vegetable,143.96,57.52,True
8,View,Snack,129.28,135.01,False
9,Threat,Snack,191.47,82.3,True
10,Identify,Snack,336.26,95.59,True
11,Land,Snack,193.01,80.74,False
12,Adult,Vegetable,357.19,20.91,False
13,Less,Fruit,285.01,82.01,True
14,Push,Beverage,68.68,135.67,True
15,Man,Dairy,452.04,20.27,False
16,Particularly,Fruit,427.52,119.48,False
17,According,Snack,433.15,126.95,True
18,Present,Beverage,178.22,115.77,True
19,Force,Dairy,62.38,22.22,True
20,Country,Dairy,384.1,101.66,False
21,Assume,Snack,183.74,35.77,False
22,Economy,Vegetable,417.13,43.48,False
23,Of,Dairy,297.08,127.37,False
24,Laugh,Beverage,273.13,90.12,False
25,Market,Fruit,79.57,60.84,False
26,Be,Snack,335.65,72.49,True
27,Conference,Vegetable,140.03,56.03,False
28,Behind,Snack,365.39,87.12,True
29,Agree,Beverage,310.91,15.87,True
30,Investment,Dairy,114.42,71.4,False
31,Free,Vegetable,226.16,146.42,True
32,As,Snack,210.7,104.39,True
33,Point,Snack,399.74,73.22,True
34,With,Beverage,320.86,87.32,True
35,Ball,Fruit,339.04,19.96,False
36,Central,Beverage,334.86,139.24,True
37,Everybody,Snack,407.22,14.98,True
38,Much,Vegetable,60.1,100.74,True
39,Garden,Vegetable,225.24,147.99,False
40,Must,Snack,181.84,125.31,False
41,Group,Beverage,423.83,55.63,True
42,Remain,Snack,478.84,108.92,True
43,Down,Fruit,347.35,124.82,True
44,Affect,Dairy,124.61,125.41,True
45,Agreement,Beverage,331.91,78.46,False
46,Note,Beverage,315.59,86.04,True
47,Reveal,Dairy,380.74,51.0,False
48,Half,Snack,380.94,79.28,False
49,Nature,Beverage,280.27,16.4,True
50,Perhaps,Fruit,74.04,53.9,False
