id,name,category,sales,profit,active
1,Just,Beverage,117.81,70.66,True
2,Talk,Vegetable,73.95,139.32,True
3,Mother,Dairy,397.37,87.91,True
4,Practice,Vegetable,161.18,26.26,False
5,If,Vegetable,207.83,136.91,True
6,Civil,Snack,423.34,34.4,False
7,Manager,Beverage,60.08,92.33,True
8,Organization,Dairy,145.22,137.6,False
9,Travel,Vegetable,262.85,141.65,False
10,Never,Snack,252.75,65.49,True
11,Religious,Vegetable,67.75,108.34,False
12,Around,Snack,77.78,86.01,True
13,Certain,Snack,115.41,81.6,False
14,Senior,Vegetable,92.76,103.18,False
15,Mrs,Dairy,394.27,31.03,True
16,South,Snack,419.17,56.8,False
17,Establish,Dairy,457.39,106.44,True
18,Responsibility,Fruit,160.01,147.85,False
19,Bed,Vegetable,312.92,37.54,False
20,Off,Fruit,69.48,127.71,True
21,Consider,Dairy,164.87,143.06,False
22,Letter,Snack,323.77,11.69,True
23,Senior,Dairy,474.65,50.61,True
24,Push,Beverage,128.15,107.25,True
25,Relationship,Dairy,166.38,38.0,False
26,Board,Fruit,95.49,85.57,True
27,Cell,Dairy,368.26,39.75,True
28,Anything,Vegetable,397.37,27.67,True
29,Institution,Beverage,90.18,139.59,False
30,Single,Snack,71.48,81.26,True
31,Say,Dairy,368.39,87.4,True
32,Us,Dairy,313.54,60.57,False
33,Marriage,Beverage,322.17,19.73,True
34,Although,Snack,326.84,48.92,False
35,War,Beverage,221.28,15.3,True
36,Eat,Dairy,413.72,63.3,True
37,Close,Fruit,446.23,36.47,True
38,Store,Vegetable,345.4,47.45,True
39,Book,Dairy,360.27,46.35,True
40,Begin,Vegetable,397.17,28.67,True
41,Open,Vegetable,326.17,14.89,False
42,Try,Snack,486.33,69.9,True
43,Score,Fruit,232.12,14.85,False
44,Tonight,Beverage,67.06,137.7,False
45,Read,Snack,482.14,134.99,False
46,Want,Dairy,230.9,46.47,True
47,Message,Beverage,170.98,62.94,False
48,Treatment,Dairy,118.2,18.62,True
49,Capital,Dairy,211.12,101.88,True
50,Push,Snack,257.31,13.23,False
