id,name,category,sales,profit,active
1,Girl,Dairy,451.08,56.11,False
2,Bar,Beverage,445.92,54.59,False
3,Particularly,Dairy,387.8,136.53,True
4,Really,Dairy,455.1,56.08,False
5,Southern,Snack,294.04,80.53,True
6,May,Fruit,478.91,120.68,True
7,Newspaper,Vegetable,88.77,129.91,True
8,Cover,Snack,250.32,71.08,False
9,Space,Vegetable,218.23,62.1,True
10,Movement,Vegetable,400.86,44.99,True
11,Truth,Beverage,155.93,60.96,True
12,Big,Fruit,459.89,121.1,False
13,Least,Dairy,72.07,105.44,True
14,Choose,Vegetable,218.86,45.06,True
15,Ground,Beverage,169.51,59.5,True
16,Might,Snack,352.83,47.69,True
17,Class,Beverage,119.08,38.5,True
18,Smile,Vegetable,487.06,131.58,True
19,Fund,Fruit,325.34,61.22,True
20,Later,Beverage,482.4,137.59,False
21,Involve,Vegetable,386.03,55.69,True
22,Assume,Dairy,326.79,87.81,False
23,Rich,Dairy,161.06,45.12,True
24,Analysis,Fruit,179.46,12.39,False
25,Lawyer,Dairy,407.23,83.79,True
26,Up,Beverage,243.07,19.06,False
27,Increase,Fruit,73.34,30.16,True
28,Number,Beverage,212.76,118.43,True
29,Decide,Vegetable,426.63,47.64,True
30,Training,Fruit,311.89,63.72,True
31,Try,Fruit,231.83,21.86,False
32,Population,Fruit,455.57,55.05,True
33,Wrong,Vegetable,183.19,60.41,True
34,Person,Vegetable,244.32,65.77,True
35,Option,Fruit,86.78,20.14,False
36,Plan,Dairy,418.01,148.78,True
37,Member,Beverage,259.25,57.54,False
38,Owner,Fruit,50.24,80.09,False
39,Such,Snack,279.42,30.49,True
40,My,Beverage,159.47,138.17,True
41,Unit,Beverage,391.31,146.15,False
42,Suggest,Beverage,288.5,111.39,False
43,Movement,Dairy,161.4,41.17,False
44,Involve,Snack,230.52,56.41,False
45,Service,Dairy,168.3,79.58,True
46,Movement,Dairy,360.18,101.08,True
47,Song,Fruit,391.96,74.1,False
48,Over,Vegetable,197.22,82.42,False
49,Per,Fruit,369.43,42.65,False
50,Son,Vegetable,296.63,113.82,False
